jobLink,jobId,collectDate,jobTitle,salaryLow,jobSeniorityCategories,salaryHighAdj,companyName,jobCategory,employmentType,salaryMean
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,01geyrm,26/02/2023,"Senior React developer",13681,"6. Senior",19900,"Nitro Solutions Zrt.",Frontend,"Employment Contract",16791
/pl/job/remote-sales-development-representative-legendary-podcasts-029aicv,029aicv,26/02/2023,"Remote Sales Development Representative",5355,"6. Mid-Senior",8926,"Legendary Podcasts",Sales,"Employment Contract",7141
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,02oja8g,26/02/2023,"Team Planner assistant (PMO)",8400,"3. Junior",11760,"Ework Group","Project Manager",B2B,10080
/pl/job/sales-manager-shiji-poland-remote-02pp61q,02pp61q,26/02/2023,"Sales Manager",12000,"6. Mid-Senior",18000,"Shiji Poland",Sales,B2B,15000
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,02u5we9,26/02/2023,"Senior Selenium Remote Test Architect",15000,"6. Senior",20000,"Gamefound sp z o.o.",Testing,B2B,17500
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,03analw,26/02/2023,"Junior Backend Developer",6720,"3. Junior",10920,"Shiji Poland",Backend,B2B,8820
/pl/job/senior-infrastructure-engineer-ivpn-remote-03f2xog,03f2xog,26/02/2023,"Senior Infrastructure Engineer",21653,"7. Senior-Expert",27559,IVPN,"IT Administrator",B2B,24606
/pl/job/remote-devops-engineer-squareone-03p78b8,03p78b8,26/02/2023,"Remote DevOps Engineer",23520,"6. Mid-Senior",36960,SquareOne,DevOps,B2B,30240
/pl/job/test-automation-engineer-xund-budapest-04l6cc1,04l6cc1,26/02/2023,"Test Automation Engineer",12438,"6. Senior",17413,XUND,Testing,"Employment Contract",14926
/pl/job/test-automation-engineer-java-selenium-avenga-warszawa-06jbtke,06jbtke,26/02/2023,"Test Automation Engineer (Java+Selenium)",20160,"6. Mid-Senior",23520,Avenga,Testing,B2B,21840
/pl/job/automotive-penetration-tester-link-group-wroclaw-06vd2mx,06vd2mx,26/02/2023,"Automotive Penetration Tester",38640,"6. Mid-Senior",43680,"Link Group",Security,B2B,41160
/pl/job/senior-cloud-software-engineer-f-m-d-otto-co-kg-hamburg-07vow1i,07vow1i,26/02/2023,"Senior Cloud Software Engineer | (f/m/d)",29528,"6. Senior",33465,"OTTO GmbH &amp; Co. KG",Fullstack,"Employment Contract",31497
/pl/job/pentester-cybersecurity-analyst-hitachi-energy-krakow-0bcdory,0bcdory,26/02/2023,"Pentester/CyberSecurity Analyst",12000,"6. Mid-Senior",24000,"Hitachi Energy",Security,"Employment Contract",18000
/pl/job/embedded-software-engineer-astek-polska-remote-0cbxkut,0cbxkut,26/02/2023,"Embedded Software Engineer",16800,"7. Senior-Expert",33600,"ASTEK Polska",Embedded,B2B,25200
/pl/job/senior-software-engineer-rtb-house-remote-0cmjooi,0cmjooi,26/02/2023,"Senior Software Engineer",30000,"7. Senior-Expert",47000,"RTB House",Backend,B2B,38500
/pl/job/lead-data-architect-market-analytics-bayer-warszawa-0d0cxdd,0d0cxdd,26/02/2023,"Lead Data Architect - Market Analytics",22000,"6. Senior",36000,"Bayer Sp. z o.o.",DevOps,"Employment Contract",29000
/pl/job/mid-c-software-developer-primetals-technologies-poland-krakow-0djvqe9,0djvqe9,26/02/2023,"Mid C++ Software Developer",7000,"5. Mid",11000,"Primetals Technologies Poland Sp. z o. o.",Backend,"Employment Contract",9000
/pl/job/e-commerce-project-manager-egis-polska-warszawa-0edwpve,0edwpve,26/02/2023,"E-commerce Project Manager",8000,"6. Mid-Senior",12500,"EGIS POLSKA Sp. z o.o.",Marketing,"Employment Contract",10250
/pl/job/senior-business-analyst-product-saas-open-loyalty-remote-0fjix8c,0fjix8c,26/02/2023,"Senior Business Analyst (Product SaaS)",17000,"6. Senior",21000,"Open Loyalty","Business Analysis",B2B,19000
/pl/job/junior-programista-ka-crm-powerapps-nmi-erp-remote-0fmnmoy,0fmnmoy,26/02/2023,"Junior Programista/ka CRM/PowerApps",5000,"3. Junior",7000,"NMI ERP Sp. z o.o.",Inne,"Employment Contract",6000
/pl/job/engineering-team-lead-offer-hire-team-smartrecruiters-remote-0gm0tz1,0gm0tz1,26/02/2023,"Engineering Team Lead (Offer&amp;Hire Team)",24500,"7. Senior-Expert",31500,"SmartRecruiters Inc.",Inne,B2B,28000
/pl/job/mid-data-engineer-acaisoft-poland-remote-0jowfnh,0jowfnh,26/02/2023,"Mid Data Engineer",20000,"5. Mid",25000,"Acaisoft Poland Sp. z.o.o","Big Data",B2B,22500
/pl/job/senior-data-engineer-sollers-consulting-warszawa-0jzetcv,0jzetcv,26/02/2023,"Senior Data Engineer",13700,"5. Mid",20000,"Sollers Consulting","Big Data",B2B,16850
/pl/job/remote-devops-engineer-twisto-payments-a-s-0ke6e7i,0ke6e7i,26/02/2023,"Remote DevOps Engineer",19970,"6. Senior",29955,"Twisto payments a.s.",DevOps,B2B,24963
/pl/job/remote-senior-akka-net-developer-link-group-0kgxl3t,0kgxl3t,26/02/2023,"Remote Senior Akka.NET Developer",25200,"6. Mid-Senior",28560,"Link Group",Backend,B2B,26880
/pl/job/remote-golang-backend-senior-developer-iotec-czechia-0kjdhm4,0kjdhm4,26/02/2023,"Remote GoLang Backend Senior Developer",25158,"6. Senior",37737,"IOTEC Czechia",Backend,B2B,31448
/pl/job/senior-react-next-js-frontend-developer-blazity-remote-0krqzeg,0krqzeg,26/02/2023,"Senior React Next.js Frontend Developer",24000,"6. Senior",30000,"Blazity Sp. z o.o.",Frontend,B2B,27000
/pl/job/lead-project-manager-relocation-efigence-rijad-0lsha45,0lsha45,26/02/2023,"Lead Project Manager RELOCATION",25000,"6. Senior",30000,"Efigence SA","Project Manager",B2B,27500
/pl/job/principal-software-engineer-remitly-krakow-0lx79yg,0lx79yg,26/02/2023,"Principal Software Engineer",30000,"7. Senior-Expert",40000,Remitly,Backend,"Employment Contract",35000
/pl/job/sales-manager-with-german-language-aqua-cloud-remote-0ma8vcz,0ma8vcz,26/02/2023,"Sales Manager with German language",7086,"6. Mid-Senior",10866,"aqua cloud GmbH",Sales,B2B,8976
/pl/job/junior-service-desk-romanian-speaker-b-braun-business-services-poland-remote-0nbldji,0nbldji,26/02/2023,"Junior Service Desk - Romanian Speaker",5000,"3. Junior",7000,"B. Braun Business Services Poland","IT Support","Employment Contract",6000
/pl/job/embedded-developer-solwit-remote-0nrmfue,0nrmfue,26/02/2023,"Embedded Developer",14000,"5. Mid",22000,"Solwit SA",Embedded,B2B,18000
/pl/job/databricks-engineer-avanade-poland-warszawa-0nxsob6,0nxsob6,26/02/2023,"DataBricks Engineer",16800,"6. Mid-Senior",26880,"Avanade Poland","Big Data",B2B,21840
/pl/job/remote-international-sales-specialist-delante-0oj4vjz,0oj4vjz,26/02/2023,"Remote International Sales Specialist",15000,"5. Mid",25000,Delante,Sales,B2B,20000
/pl/job/javascript-developer-keepit-krakow-0pldd87,0pldd87,26/02/2023,"JavaScript Developer",10000,"5. Mid",18000,"202f   Keepit",Fullstack,"Employment Contract",14000
/pl/job/junior-lead-researcher-dahliamatic-remote-0prwf76,0prwf76,26/02/2023,"Junior Lead Researcher",4500,"5. Mid",6000,"DahliaMatic Sp. z o.o.",Sales,OTHER,5250
/pl/job/c-developer-globallogic-poland-remote-0qage2e,0qage2e,26/02/2023,"C++ Developer",13000,"5. Mid",18000,"GlobalLogic Poland",Backend,"Employment Contract",15500
/pl/job/junior-manual-tester-monogo-warszawa-0qrdjwy,0qrdjwy,26/02/2023,"Junior Manual Tester",6000,"3. Junior",9000,Monogo,Testing,B2B,7500
/pl/job/senior-ios-developer-idemia-poland-r-d-lodz-0rhyqek,0rhyqek,26/02/2023,"Senior iOS Developer",18900,"6. Senior",30240,"IDEMIA Poland R&amp;D",Mobile,B2B,24570
/pl/job/integration-engineer-synerise-remote-0rki3yh,0rki3yh,26/02/2023,"Integration Engineer",10000,"5. Mid",15000,Synerise,Frontend,B2B,12500
/pl/job/senior-seo-specialist-sempai-remote-0rvp7az,0rvp7az,26/02/2023,"Senior SEO Specialist",9000,"6. Senior",13250,Sempai,Marketing,B2B,11125
/pl/job/it-support-engineer-european-molecular-biology-laboratory-embl-grenoble-0t2crkm,0t2crkm,26/02/2023,"IT Support Engineer",28347,"6. Mid-Senior",35906,"European Molecular Biology Laboratory (EMBL)","IT Support","Employment Contract",32127
/pl/job/head-of-product-unravel-remote-0u1djsa,0u1djsa,26/02/2023,"Head of Product",33600,"8. Expert",50400,Unravel,"Product Management",B2B,42000
/pl/job/junior-frontend-developer-simlab-gliwice-0uoi7j8,0uoi7j8,26/02/2023,"Junior Frontend Developer",5000,"3. Junior",8000,"SIMLAB SP. Z O.O.",Frontend,"Employment Contract",6500
/pl/job/social-media-specialist-tigers-warszawa-0uqmww8,0uqmww8,26/02/2023,"Social Media Specialist",6000,"5. Mid",9500,Tigers,Marketing,B2B,7750
/pl/job/databricks-data-engineer-with-python-axa-it-solutions-warszawa-0us3qar,0us3qar,26/02/2023,"Databricks Data Engineer with Python",26880,"6. Senior",34440,"AXA IT Solutions","Big Data",B2B,30660
/pl/job/administrator-asystent-hr-incat-wroclaw-0vmm8dw,0vmm8dw,26/02/2023,"Administrator/ Asystent HR",5000,"5. Mid",10000,"INCAT sp. z o.o.",HR,B2B,7500
/pl/job/application-security-engineer-akademia-gorniczo-hutnicza-im-stanislawa-staszica-w-krakowie-krakow-0vrgvtw,0vrgvtw,26/02/2023,"Application Security Engineer",8000,"5. Mid",14000,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie",Security,"Employment Contract",11000
/pl/job/senior-data-engineer-python-astek-polska-remote-0wxth8n,0wxth8n,26/02/2023,"Senior Data Engineer (Python)",25200,"7. Senior-Expert",29400,"ASTEK Polska","Big Data",B2B,27300
/pl/job/remote-java-team-leader-mend-0y7o8jd,0y7o8jd,26/02/2023,"Remote Java Team Leader",44630,"8. Expert",44630,Mend,Backend,B2B,44630
/pl/job/senior-full-stack-developer-westwing-remote-0zjb96o,0zjb96o,26/02/2023,"Senior Full Stack Developer",18000,"6. Senior",22000,"Westwing Sp. z o.o.",Fullstack,"Employment Contract",20000
/pl/job/junior-customer-support-specialist-green-minds-remote-0zpee5n,0zpee5n,26/02/2023,"Junior Customer Support Specialist",9000,"3. Junior",12000,"Green Minds Sp.z o.o.","IT Support",B2B,10500
/pl/job/networking-engineer-part-time-actyc-remote-13l1keq,13l1keq,26/02/2023,"Networking Engineer (part time)",18648,"5. Mid",22344,Actyc,DevOps,OTHER,20496
/pl/job/project-manager-avenga-warszawa-13nxj5f,13nxj5f,26/02/2023,"Project Manager",18480,"6. Mid-Senior",21000,AVENGA,"Project Manager",B2B,19740
/pl/job/front-end-developer-react-harvey-nash-technology-warsaw-14cyx2z,14cyx2z,26/02/2023,"Front-end Developer (React)",25000,"6. Senior",30000,"Harvey Nash Technology",Frontend,B2B,27500
/pl/job/specjalista-ds-rozwoju-rynku-besthr-warszawa-14musp8,14musp8,26/02/2023,"Specjalista ds. rozwoju rynku",8500,"5. Mid",11000,BestHR,Sales,"Employment Contract",9750
/pl/job/remote-mid-full-stack-developer-r-d-causality-14usywf,14usywf,26/02/2023,"Remote Mid Full-stack Developer - R&amp;D",16000,"5. Mid",21500,Causality,Fullstack,B2B,18750
/pl/job/paid-campaign-expert-picodi-krakow-16dvxzi,16dvxzi,26/02/2023,"Paid Campaign Expert",9000,"6. Mid-Senior",14000,Picodi,Marketing,"Employment Contract",11500
/pl/job/international-sales-specialist-dutch-no-fluff-jobs-remote-16srwi8,16srwi8,26/02/2023,"International Sales Specialist + Dutch",9000,"6. Mid-Senior",17000,"No Fluff Jobs",Sales,B2B,13000
/pl/job/key-account-manager-netguru-remote-191jkye,191jkye,26/02/2023,"Key Account Manager",11760,"6. Mid-Senior",16000,Netguru,Sales,B2B,13880
/pl/job/business-analyst-software-mettler-toledo-warszawa-1acuar9,1acuar9,26/02/2023,"Business Analyst (Software)",12000,"6. Mid-Senior",18000,Mettler-Toledo,"Business Analysis","Employment Contract",15000
/pl/job/sales-specialist-dom-pelen-energii-krakow-1cdilie,1cdilie,26/02/2023,"Sales Specialist",5000,"5. Mid",6000,"DOM PEŁEN ENERGII",Sales,B2B,5500
/pl/job/remote-account-manager-german-french-instreamly-1d5urmc,1d5urmc,26/02/2023,"Remote Account Manager German / French",6500,"5. Mid",9000,inStreamly,Sales,B2B,7750
/pl/job/part-time-office-manager-in-gdansk-exadel-gdansk-1dkae7f,1dkae7f,26/02/2023,"Part-time Office Manager in Gdańsk",3500,"5. Mid",4000,Exadel,Backoffice,"Employment Contract",3750
/pl/job/remote-node-js-backend-developer-tkh-technology-poland-1euv3ja,1euv3ja,26/02/2023,"Remote Node.js Backend Developer",10000,"5. Mid",15000,"TKH Technology Poland",Backend,B2B,12500
/pl/job/mobile-team-lead-react-native-crimson-panda-remote-1fbphvo,1fbphvo,26/02/2023,"Mobile Team Lead - React Native",29000,"7. Senior-Expert",33500,"Crimson Panda",Mobile,B2B,31250
/pl/job/senior-lead-software-engineer-in-test-c-epam-krakow-1fgfrsq,1fgfrsq,26/02/2023,"Senior/Lead Software Engineer in Test(C)",15500,"6. Senior",24600,EPAM,Testing,B2B,20050
/pl/job/devops-engineer-gcp-connectis-warszawa-1gskoja,1gskoja,26/02/2023,"DevOps Engineer (GCP)",23520,"5. Mid",26880,Connectis_,DevOps,B2B,25200
/pl/job/engineering-manager-airslate-wroclaw-1hgehmu,1hgehmu,26/02/2023,"Engineering Manager",22315,"6. Senior",35704,airSlate,Fullstack,B2B,29010
/pl/job/data-engineer-nordcloud-remote-1hjxziw,1hjxziw,26/02/2023,"Data Engineer",20000,"6. Mid-Senior",32000,Nordcloud,"Big Data","Employment Contract",26000
/pl/job/junior-devops-engineer-shoprenter-kft-debrecen-1hsaxoc,1hsaxoc,26/02/2023,"Junior DevOps Engineer",4353,"3. Junior",7462,"Shoprenter Kft",DevOps,"Employment Contract",5908
/pl/job/nodejs-developer-itechart-poland-gdansk-1in3vrn,1in3vrn,26/02/2023,"NodeJS Developer",15000,"6. Senior",25000,"iTechArt Poland",Fullstack,"Employment Contract",20000
/pl/job/junior-fullstack-developer-orteh-warszawa-1jfqrzd,1jfqrzd,26/02/2023,"Junior FullStack Developer",7000,"3. Junior",12000,"ORTEH Sp. z o.o.",Fullstack,B2B,9500
/pl/job/senior-site-reliability-engineer-remitly-krakow-1jjlomg,1jjlomg,26/02/2023,"Senior Site Reliability Engineer",25000,"6. Senior",31000,Remitly,DevOps,"Employment Contract",28000
/pl/job/local-accounting-lead-chief-accountant-fieldbee-gliwice-1kifaso,1kifaso,26/02/2023,"Local Accounting Lead (Chief Accountant)",8000,"5. Mid",9500,FieldBee,Backoffice,B2B,8750
/pl/job/senior-python-django-developer-talixo-poland-krakow-1kkdmea,1kkdmea,26/02/2023,"Senior Python (Django) Developer",20000,"6. Senior",23000,"Talixo Poland Sp.z.o.o",Backend,B2B,21500
/pl/job/performance-marketing-manager-skalski-growth-remote-1kovkkb,1kovkkb,26/02/2023,"Performance Marketing Manager",9000,"6. Mid-Senior",14000,"Skalski Growth",Marketing,B2B,11500
/pl/job/it-asset-manager-5292-idbc-creative-solutions-kft-remote-1kpbm3q,1kpbm3q,26/02/2023,"IT Asset Manager_5292",18657,"6. Mid-Senior",21144,"IDBC Creative Solutions Kft.",Inne,"Employment Contract",19901
/pl/job/specjalista-ds-zakupow-human-hunter-warszawa-1nc3pxf,1nc3pxf,26/02/2023,"Specjalista ds. Zakupów",5500,"3. Junior",7000,"Human &amp; Hunter",Backoffice,"Employment Contract",6250
/pl/job/junior-sales-development-specialist-devsdata-llc-remote-1ndo0bn,1ndo0bn,26/02/2023,"Junior Sales Development Specialist",3800,"2. Trainee-Junior",4800,"DevsData LLC",Sales,OTHER,4300
/pl/job/lead-backend-engineer-mangopay-remote-1ocncui,1ocncui,26/02/2023,"Lead Backend Engineer",27000,"8. Expert",30000,MANGOPAY,Backend,B2B,28500
/pl/job/linux-devops-actyc-remote-1pgwzca,1pgwzca,26/02/2023,"Linux DevOps",13389,"6. Mid-Senior",22315,Actyc,DevOps,OTHER,17852
/pl/job/key-account-manager-eoptimo-pl-wroclawkrzyki-1q3krsl,1q3krsl,26/02/2023,"Key Account Manager",3500,"3. Junior",5000,Eoptimo.pl,Sales,B2B,4250
/pl/job/customer-success-manager-zowie-warsaw-1rdlbll,1rdlbll,26/02/2023,"Customer Success Manager",10000,"6. Senior",20000,Zowie,Sales,B2B,15000
/pl/job/engineering-manager-ecovadis-polska-warszawa-1sso7ro,1sso7ro,26/02/2023,"Engineering Manager",30240,"8. Expert",36120,"EcoVadis Polska Sp. z o. o.",Backend,B2B,33180
/pl/job/office-assistant-linkhouse-remote-1t1gf8q,1t1gf8q,26/02/2023,"Office Assistant",4100,"5. Mid",4650,Linkhouse,Backoffice,"Employment Contract",4375
/pl/job/intern-software-consultant-with-german-dassault-systemes-krakow-1tteole,1tteole,26/02/2023,"Intern - Software Consultant with German",4536,"2. Trainee-Junior",5040,"Dassault Systèmes","Business Intelligence",OTHER,4788
/pl/job/plm-solution-architect-zf-group-remote-1vnmupx,1vnmupx,26/02/2023,"PLM Solution Architect",15000,"6. Mid-Senior",20000,"ZF Group",Inne,"Employment Contract",17500
/pl/job/recruiter-swivl-warszawa-1vuhhex,1vuhhex,26/02/2023,Recruiter,6694,"5. Mid",8926,Swivl,HR,B2B,7810
/pl/job/junior-react-native-developer-nix-tech-kft-budapest-1whe7yk,1whe7yk,26/02/2023,"Junior React Native Developer",5597,"3. Junior",6219,"NIX Tech Kft.",Mobile,"Employment Contract",5908
/pl/job/devops-lerta-remote-1wxvfji,1wxvfji,26/02/2023,DevOps,14000,"5. Mid",20000,Lerta,DevOps,"Employment Contract",17000
/pl/job/technical-pre-sales-grape-up-krakow-1yce9mw,1yce9mw,26/02/2023,"Technical Pre-sales",22100,"7. Senior-Expert",35700,"Grape Up",Sales,B2B,28900
/pl/job/mid-qa-engineer-middleware-team-piwik-pro-remote-1yszcgs,1yszcgs,26/02/2023,"Mid QA Engineer - Middleware Team",10000,"5. Mid",16000,"Piwik PRO",Testing,B2B,13000
/pl/job/erp-support-specialist-idbc-creative-solutions-kft-budapestxiiikerulet-1ytdio0,1ytdio0,26/02/2023,"ERP Support Specialist",9328,"6. Mid-Senior",11691,"IDBC Creative Solutions Kft.","IT Support","Employment Contract",10510
/pl/job/data-architect-sollers-consulting-warszawa-1zaebgs,1zaebgs,26/02/2023,"Data Architect",22500,"6. Senior",26800,"Sollers Consulting",Architecture,B2B,24650
/pl/job/junior-it-support-specialist-link-group-warszawa-226dv7i,226dv7i,26/02/2023,"Junior IT Support Specialist",10080,"3. Junior",11760,"Link Group Sp. z o. o.","IT Support",B2B,10920
/pl/job/scala-backend-lead-developer-link-group-warszawa-24p4bvm,24p4bvm,26/02/2023,"Scala Backend Lead Developer",29400,"8. Expert",36120,"Link Group",Backend,B2B,32760
/pl/job/software-engineer-data-platforms-adform-warszawa-25jssuc,25jssuc,26/02/2023,"Software Engineer -Data Platforms",17136,"5. Mid",25200,"Adform Sp. z o.o.",Backend,B2B,21168
/pl/job/junior-sem-specialist-answear-com-krakow-26eyvql,26eyvql,26/02/2023,"Junior SEM Specialist",6000,"3. Junior",9000,Answear.com,Marketing,"Employment Contract",7500
/pl/job/senior-content-writer-suso-digital-poznan-26y8moi,26y8moi,26/02/2023,"Senior Content Writer",7500,"7. Senior-Expert",9000,"SUSO Digital",Marketing,B2B,8250
/pl/job/sales-manager-hitteps-remote-2aqoo8i,2aqoo8i,26/02/2023,"Sales Manager",4488,"6. Mid-Senior",8740,Hitteps,Sales,B2B,6614
/pl/job/remote-senior-php-developer-tau-ceti-2awvj40,2awvj40,26/02/2023,"Remote Senior + PHP Developer",15000,"7. Senior-Expert",22000,"Tau Ceti",Backend,B2B,18500
/pl/job/key-account-specialist-halfing-petersen-krakow-2bwjjhn,2bwjjhn,26/02/2023,"Key Account Specialist",7000,"5. Mid",10000,"Halfing &amp; Petersen",Sales,B2B,8500
/pl/job/junior-support-specialist-adminotaur-krakow-2ckbuoi,2ckbuoi,26/02/2023,"Junior Support Specialist",3500,"2. Trainee-Junior",7000,Adminotaur,"IT Support",B2B,5250
/pl/job/fullstack-developer-chatham-financial-krakow-2dmzgez,2dmzgez,26/02/2023,"Fullstack Developer",12500,"5. Mid",16000,"Chatham Financial",Fullstack,"Employment Contract",14250
/pl/job/email-marketing-specialist-elvtr-remote-2ds2nlq,2ds2nlq,26/02/2023,"Email Marketing Specialist",8926,"6. Senior",13389,ELVTR,Marketing,B2B,11158
/pl/job/sap-fullstack-abap-ui5-developer-sopra-steria-apps-services-remote-2e3gyir,2e3gyir,26/02/2023,"SAP Fullstack ABAP UI5 Developer",16000,"6. Mid-Senior",27000,"Sopra Steria - Apps Services","IT Support",B2B,21500
/pl/job/client-solutions-manager-idemia-poland-r-d-kobylka-2e8p0bd,2e8p0bd,26/02/2023,"Client Solutions Manager",21000,"5. Mid",23100,"IDEMIA Poland R&amp;D",Sales,"Employment Contract",22050
/pl/job/junior-full-stack-developer-remote-impicode-2ehccon,2ehccon,26/02/2023,"Junior Full Stack Developer Remote",4000,"3. Junior",5000,ImpiCode,Fullstack,OTHER,4500
/pl/job/remote-mid-fullstack-node-js-developer-wonder-tech-2fcgxow,2fcgxow,26/02/2023,"Remote Mid Fullstack Node.js Developer",15000,"6. Mid-Senior",20000,"Wonder Tech sp. z.o.o.",Fullstack,B2B,17500
/pl/job/remote-devops-cloud-engineer-onwelo-2fxhwyi,2fxhwyi,26/02/2023,"Remote DevOps Cloud Engineer",18480,"5. Mid",25200,"Onwelo S.A.",DevOps,B2B,21840
/pl/job/senior-java-developer-grid-dynamics-remote-2hy0n7y,2hy0n7y,26/02/2023,"Senior Java Developer",22000,"6. Senior",29700,"Grid Dynamics",Backend,B2B,25850
/pl/job/lot-software-solutions-architect-hitachi-energy-krakow-2ismxut,2ismxut,26/02/2023,"loT Software Solutions Architect",18000,"5. Mid",27000,"Hitachi Energy",Architecture,"Employment Contract",22500
/pl/job/aws-python-developer-predictwatch-remote-2itflye,2itflye,26/02/2023,"AWS Python developer",15000,"5. Mid",22000,"PredictWatch Sp. z o.o.",Backend,"Employment Contract",18500
/pl/job/cloud-devops-engineer-consult-red-remote-2iv9bi2,2iv9bi2,26/02/2023,"Cloud DevOps Engineer",32000,"7. Senior-Expert",44000,"Consult Red",DevOps,B2B,38000
/pl/job/remote-android-developer-centralny-osrodek-informatyki-2jtcw08,2jtcw08,26/02/2023,"Remote Android Developer",10000,"5. Mid",18000,"Centralny Ośrodek Informatyki",Mobile,"Employment Contract",14000
/pl/job/remote-regular-scala-developer-iceo-venture-builder-2kje3sh,2kje3sh,26/02/2023,"Remote Regular Scala Developer",18000,"5. Mid",25000,"ICEO - Venture Builder",Backend,B2B,21500
/pl/job/specjalista-ds-social-media-i-marketing-eagle-recruitment-bialystok-2ks2t5v,2ks2t5v,26/02/2023,"Specjalista ds. social media i marketing",8000,"3. Junior",10000,"EAGLE RECRUITMENT",Marketing,B2B,9000
/pl/job/remote-it-project-manager-data-ai-elitmind-2lmiykg,2lmiykg,26/02/2023,"Remote IT Project Manager (Data&amp;AI)",15000,"6. Mid-Senior",23000,Elitmind,"Project Manager",B2B,19000
/pl/job/junior-telephone-sales-specialist-imar-service-group-warszawa-2mrsv0a,2mrsv0a,26/02/2023,"Junior Telephone Sales Specialist",4500,"3. Junior",5500,"Imar Service Group",Sales,"Employment Contract",5000
/pl/job/remote-mid-test-automation-engineer-opsenio-2nwwqqw,2nwwqqw,26/02/2023,"Remote Mid Test Automation Engineer",12000,"6. Mid-Senior",16500,Opsenio,Testing,B2B,14250
/pl/job/senior-microsoft-dynamics-crm-developer-rockwool-remote-2rminil,2rminil,26/02/2023,"Senior Microsoft Dynamics CRM Developer",25200,"6. Mid-Senior",30240,ROCKWOOL,Backend,B2B,27720
/pl/job/administrator-sieci-lan-wan-connectis-warszawa-2styksx,2styksx,26/02/2023,"Administrator sieci LAN/WAN",10500,"5. Mid",15500,Connectis_,"IT Administrator",B2B,13000
/pl/job/senior-frontend-developer-shopware-pwa-superdevs-remote-2thwx9b,2thwx9b,26/02/2023,"Senior Frontend Developer (Shopware PWA)",23520,"6. Senior",30240,Superdevs,Frontend,B2B,26880
/pl/job/senior-platform-engineer-airtame-aps-remote-2vh753h,2vh753h,26/02/2023,"Senior Platform Engineer",18657,"6. Senior",31095,"Airtame Aps",Embedded,"Employment Contract",24876
/pl/job/c-c-software-architect-vesoftx-remote-2vr7wun,2vr7wun,26/02/2023,"C/C++ Software Architect",20000,"6. Senior",35000,VESOFTx,Architecture,B2B,27500
/pl/job/senior-devops-engineer-unity-group-remote-2ykpcom,2ykpcom,26/02/2023,"Senior DevOps Engineer",20160,"6. Senior",31920,"Unity Group",DevOps,B2B,26040
/pl/job/remote-mid-react-frontend-developer-grupa-absolvent-2z6wjmk,2z6wjmk,26/02/2023,"Remote Mid React Frontend Developer",8000,"5. Mid",12000,"Grupa Absolvent",Frontend,B2B,10000
/pl/job/it-sap-purchasing-specialist-zf-group-remote-2zj1olt,2zj1olt,26/02/2023,"IT SAP Purchasing Specialist",14000,"6. Mid-Senior",18000,"ZF Group",ERP,"Employment Contract",16000
