jobLink,jobCategory,salaryLow,salaryHighAdj,salaryMean,jobSeniorityCategories,skillsAgr
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",React
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",JavaScript
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",CSS
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",HTML
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",Redux
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",Git
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",TypeScript
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",lang
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",langeng_inter
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",Nodedotjs
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",REST/RESTAPI
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",AWS
/pl/job/senior-react-developer-nitro-solutions-zrt-budapest-01geyrm,Frontend,13681,19900,16791,"6. Senior",Java
/pl/job/remote-sales-development-representative-legendary-podcasts-029aicv,Sales,5355,8926,7141,"6. Mid-Senior",ana
/pl/job/remote-sales-development-representative-legendary-podcasts-029aicv,Sales,5355,8926,7141,"6. Mid-Senior",know
/pl/job/remote-sales-development-representative-legendary-podcasts-029aicv,Sales,5355,8926,7141,"6. Mid-Senior",soft
/pl/job/remote-sales-development-representative-legendary-podcasts-029aicv,Sales,5355,8926,7141,"6. Mid-Senior",langeng_high
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,"Project Manager",8400,11760,10080,"3. Junior",spec
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,"Project Manager",8400,11760,10080,"3. Junior",langeng_inter
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,"Project Manager",8400,11760,10080,"3. Junior",SharePoint
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,"Project Manager",8400,11760,10080,"3. Junior",Confluence
/pl/job/team-planner-assistant-pmo-ework-group-remote-02oja8g,"Project Manager",8400,11760,10080,"3. Junior",Jira
/pl/job/sales-manager-shiji-poland-remote-02pp61q,Sales,12000,18000,15000,"6. Mid-Senior",langpol_high
/pl/job/sales-manager-shiji-poland-remote-02pp61q,Sales,12000,18000,15000,"6. Mid-Senior",langeng
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",QA
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",Csharp
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",Selenium
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",Git
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",langpol_high
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",langeng_inter
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",UI
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",CI/CD
/pl/job/senior-selenium-remote-test-architect-gamefound-02u5we9,Testing,15000,20000,17500,"6. Senior",Azure
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",dotNET
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",Unittesting
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",langeng
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",langpol_high
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",Docker
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",PostgreSQL
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",KAFKA
/pl/job/junior-backend-developer-shiji-poland-katowice-03analw,Backend,6720,10920,8820,"3. Junior",AWS
